               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,              0.0298,           0.0099542,            0.010401,             0.99519,             0.98905,             0.99476,             0.73564,            0.016308,            0.004885,           0.0025918,           0.0097178,           0.0097178,           0.0097178
                  36,            0.031101,           0.0098568,              0.0105,             0.99375,             0.98222,             0.99466,             0.75627,            0.016986,           0.0048154,           0.0029218,           0.0097011,           0.0097011,           0.0097011
                  37,            0.029544,           0.0098516,           0.0083919,             0.91172,             0.97346,             0.96079,             0.74192,            0.017161,           0.0045604,           0.0023586,            0.009684,            0.009684,            0.009684
                  38,            0.029247,             0.01015,           0.0081683,             0.99345,             0.99794,             0.99489,             0.77597,            0.014969,           0.0047609,           0.0021113,           0.0096664,           0.0096664,           0.0096664
                  39,            0.029769,            0.009991,           0.0089092,              0.9955,             0.99843,             0.99493,             0.76951,            0.014504,           0.0046396,           0.0022012,           0.0096484,           0.0096484,           0.0096484
                  40,            0.027789,            0.009522,           0.0082747,             0.98344,             0.95839,             0.98306,             0.75444,             0.01669,           0.0054222,           0.0025231,           0.0096299,           0.0096299,           0.0096299
                  41,            0.028707,           0.0095477,           0.0081757,             0.99017,             0.97188,             0.98603,             0.76741,            0.015936,           0.0052958,           0.0022235,            0.009611,            0.009611,            0.009611
                  42,            0.027585,           0.0096721,           0.0083601,              0.9984,             0.89272,             0.92614,             0.68376,            0.019182,           0.0073683,           0.0037223,           0.0095916,           0.0095916,           0.0095916
                  43,            0.027807,            0.009413,            0.008234,             0.99698,             0.99626,             0.99485,             0.79145,            0.015122,           0.0044948,           0.0019919,           0.0095717,           0.0095717,           0.0095717
                  44,            0.028131,           0.0097591,           0.0077224,             0.98097,              0.9739,             0.98938,             0.71261,            0.016233,           0.0055766,            0.002237,           0.0095514,           0.0095514,           0.0095514
                  45,            0.028413,           0.0091826,           0.0073796,             0.99309,             0.99852,               0.995,             0.77459,            0.015176,           0.0044666,           0.0020622,           0.0095307,           0.0095307,           0.0095307
                  46,             0.02758,           0.0093878,           0.0071169,             0.99207,             0.99813,             0.99493,             0.77202,            0.014988,           0.0047079,           0.0019113,           0.0095095,           0.0095095,           0.0095095
                  47,            0.027441,           0.0095112,           0.0067515,             0.99578,             0.99691,             0.99488,             0.75525,            0.016399,           0.0046543,           0.0019578,           0.0094879,           0.0094879,           0.0094879
                  48,            0.027626,           0.0094748,           0.0075132,             0.99501,             0.99878,             0.99475,             0.75777,            0.016617,           0.0045722,           0.0019073,           0.0094659,           0.0094659,           0.0094659
