               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038337,            0.014435,            0.014543,             0.88276,             0.94727,             0.94664,             0.40622,            0.028863,           0.0073065,           0.0030307,           0.0097011,           0.0097011,           0.0097011
                  37,            0.039583,            0.014092,            0.014704,             0.96369,             0.97719,             0.98471,             0.60981,            0.021988,           0.0075353,           0.0031771,            0.009684,            0.009684,            0.009684
                  38,            0.038144,            0.014033,            0.014751,             0.89574,             0.92556,             0.97281,             0.61097,            0.023864,           0.0070069,           0.0061138,           0.0096664,           0.0096664,           0.0096664
                  39,            0.037446,            0.013374,            0.014341,             0.95512,             0.93157,             0.97195,             0.61105,            0.020822,           0.0068888,           0.0027593,           0.0096484,           0.0096484,           0.0096484
                  40,            0.035529,            0.013616,            0.013672,              0.9231,             0.84541,             0.93707,             0.56836,             0.02474,           0.0073822,           0.0092148,           0.0096299,           0.0096299,           0.0096299
                  41,            0.036804,            0.013982,            0.012852,             0.93002,             0.92457,             0.97405,             0.60184,            0.021309,            0.006268,           0.0029572,            0.009611,            0.009611,            0.009611
                  42,            0.037049,            0.012968,            0.012393,              0.9282,             0.96431,             0.97193,             0.67484,             0.02001,           0.0065028,           0.0027603,           0.0095916,           0.0095916,           0.0095916
                  43,            0.037189,            0.013298,            0.014409,             0.88591,             0.91146,             0.96434,             0.58849,            0.021023,           0.0069544,           0.0062593,           0.0095717,           0.0095717,           0.0095717
                  44,            0.037841,            0.013664,            0.012967,             0.94489,             0.91252,             0.97285,             0.61121,            0.023481,           0.0067169,           0.0040784,           0.0095514,           0.0095514,           0.0095514
                  45,             0.03785,             0.01339,            0.012821,             0.94536,             0.95043,             0.97741,              0.6288,            0.023032,           0.0064749,           0.0028032,           0.0095307,           0.0095307,           0.0095307
                  46,            0.035355,            0.013681,            0.012394,             0.96203,             0.97455,             0.98009,             0.69611,            0.017498,           0.0062177,           0.0022445,           0.0095095,           0.0095095,           0.0095095
                  47,            0.036122,            0.013209,            0.013594,              0.9503,             0.95975,             0.97782,             0.69342,            0.019213,           0.0062104,           0.0024626,           0.0094879,           0.0094879,           0.0094879
                  48,            0.034366,            0.013217,            0.012086,             0.85937,             0.95936,              0.9509,             0.64316,            0.020243,           0.0062169,           0.0028835,           0.0094659,           0.0094659,           0.0094659
                  49,            0.034734,            0.012293,            0.010857,             0.94252,             0.94848,             0.97637,             0.66467,            0.019611,           0.0064407,           0.0024066,           0.0094434,           0.0094434,           0.0094434
                  50,             0.03623,            0.013162,            0.012863,             0.95515,             0.97388,              0.9818,             0.66863,            0.020525,           0.0058261,           0.0019549,           0.0094205,           0.0094205,           0.0094205
                  51,            0.034536,            0.012446,            0.010558,             0.95021,              0.9454,             0.97605,             0.65908,            0.019732,           0.0061622,              0.0025,           0.0093971,           0.0093971,           0.0093971
                  52,            0.033304,            0.013996,            0.011457,             0.96349,             0.98759,             0.97505,             0.63074,            0.020319,           0.0060481,           0.0020261,           0.0093733,           0.0093733,           0.0093733
                  53,            0.033076,            0.013178,            0.011735,             0.96622,             0.97489,             0.98131,              0.6485,            0.019611,           0.0059956,           0.0018809,           0.0093491,           0.0093491,           0.0093491
                  54,            0.033392,            0.012622,            0.011188,             0.97397,             0.99004,             0.97876,             0.73486,            0.016459,           0.0057155,           0.0020666,           0.0093245,           0.0093245,           0.0093245
                  55,             0.03344,            0.012691,            0.010872,             0.95772,             0.98525,             0.97795,             0.70428,            0.017781,           0.0057204,           0.0017716,           0.0092995,           0.0092995,           0.0092995
                  56,            0.034814,            0.012713,            0.011601,             0.97293,             0.98321,              0.9873,             0.64664,            0.020321,           0.0062361,           0.0020274,            0.009274,            0.009274,            0.009274
                  57,             0.03123,            0.012203,             0.01207,             0.97178,              0.9986,               0.983,             0.72731,            0.015962,           0.0054917,           0.0016507,           0.0092481,           0.0092481,           0.0092481
